Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
fert_applic._shank_3,1,2,,,,0.80000000,,20.0000000,0.60000000,0.24000000,4.00000000,,,,,,,0
harvest;_cabbage_an1,6,1,8,,,,,,,,,,,,,,,0
planter;_transplant3,1,2,7,,,0.40000000,,20.0000000,0.40000000,0.24000000,6.00000000,,,,,,,0
planter;_small_veg_1,2,7,,,,0.40000000,,15.0000000,0.30000000,0.24000000,1.50000000,,,,,,,0
harvest;_hand_pull,2,8,5,,,0.40000000,,35.0000000,1.20000000,0.24000000,5.00000000,,,,,,,0
planting;_manual,2,7,,,,0.50000000,,30.0000000,0.90000000,0.24000000,2.00000000,,,,,,,0
weed_control;_manual,4,2,,,,0.90000000,,85.0000000,0.50000000,0.24000000,3.00000000,90.0000000,,,,,,0
rototiller;_field,8,1,2,,,1.00000000,,100.000000,0.40000000,0.24000000,4.00000000,,,,,,,0
harvest;_rootcrops;1,2,8,1,,,0.70000000,,40.0000000,1.90000000,0.24000000,8.00000000,,,,,,,0
bulldozer;_clearing1,8,1,6,5,2,1.00000000,,100.000000,0.80000000,0.24000000,5.00000000,,,,,,,0
bulldozer;_filling/l,8,1,2,,,1.00000000,,100.000000,0.30000000,0.24000000,2.00000000,,,,,,,0
mulch_crimper,1,2,,,,0.20000000,,15.0000000,0.30000000,0.24000000,2.00000000,,,,,,,0
harrow;_spike_tooth,8,1,2,,,0.40000000,,100.000000,0.40000000,0.24000000,2.00000000,,,,,,,0
hydro-seeder,4,7,,,,,,,,,,100.000000,,,,,,0
no_operation,1,,,,,,,,,,,,,,,,,0
continuous_disturban,8,1,2,1,,1.00000000,,100.000000,0.40000000,0.24000000,4.00000000,,,,,,,0
