Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code
LU_92,CROPLAND,corn;gra3,,,,,,,,1
LU_111,CROPLAND,1asture;_1,,,,,,,,1
LU_112,CROPLAND,1asture;_1,,,,,,,,1
LU_121,URBAN,residentia,,,,,,,,1
LU_122,URBAN,residentia,,,,,,,,1
LU_123,URBAN,residentia,,,,,,,,1
LU_124,URBAN,residentia,,,,,,,,1
LU_131,CROPLAND,1asture;_1,,,,,,,,1
LU_141,FOREST,Forest,,,,,,,,1
LU_142,FOREST,Forest,,,,,,,,1
LU_143,FOREST,Forest,,,,,,,,1
LU_152,CROPLAND,1asture;_1,,,,,,,,1
LU_176,CROPLAND,1asture;_1,,,,,,,,1
LU_190,CROPLAND,1asture;_1,,,,,,,,1
LU_195,CROPLAND,1asture;_1,,,,,,,,1
LU_204,FOREST,Forest,,,,,,,,1
LU_205,CROPLAND,corn;gra3,,,,,,,,1
LU_206,CROPLAND,corn;gra3,,,,,,,,1
LU_207,CROPLAND,corn;gra3,,,,,,,,1
LU_208,CROPLAND,corn;gra3,,,,,,,,1
LU_209,CROPLAND,corn;gra3,,,,,,,,1
LU_210,FOREST,Forest,,,,,,,,1
LU_211,FOREST,Forest,,,,,,,,1
LU_212,FOREST,Forest,,,,,,,,1
LU_213,CROPLAND,corn;gra3,,,,,,,,1
LU_214,CROPLAND,corn;gra3,,,,,,,,1
LU_215,FOREST,Forest,,,,,,,,1
LU_216,CROPLAND,corn;gra3,,,,,,,,1
LU_217,FOREST,Forest,,,,,,,,1
LU_218,FOREST,Forest,,,,,,,,1
LU_219,CROPLAND,corn;gra3,,,,,,,,1
LU_220,FOREST,Forest,,,,,,,,1
LU_221,CROPLAND,corn;gra3,,,,,,,,1
LU_222,CROPLAND,corn;gra3,,,,,,,,1
LU_223,FOREST,Forest,,,,,,,,1
LU_224,CROPLAND,corn;gra3,,,,,,,,1
LU_225,CROPLAND,corn;gra3,,,,,,,,1
LU_226,CROPLAND,corn;gra3,,,,,,,,1
LU_227,CROPLAND,corn;gra3,,,,,,,,1
LU_229,CROPLAND,corn;gra3,,,,,,,,1
LU_230,CROPLAND,corn;gra3,,,,,,,,1
LU_231,CROPLAND,corn;gra3,,,,,,,,1
LU_232,CROPLAND,corn;gra3,,,,,,,,1
LU_233,CROPLAND,corn;gra3,,,,,,,,1
LU_234,CROPLAND,corn;gra3,,,,,,,,1
LU_235,CROPLAND,corn;gra3,,,,,,,,1
LU_236,CROPLAND,corn;gra3,,,,,,,,1
LU_237,CROPLAND,corn;gra3,,,,,,,,1
LU_238,CROPLAND,corn;gra3,,,,,,,,1
LU_239,CROPLAND,corn;gra3,,,,,,,,1
LU_240,CROPLAND,corn;gra3,,,,,,,,1
LU_241,CROPLAND,corn;gra3,,,,,,,,1
LU_242,CROPLAND,corn;gra3,,,,,,,,1
LU_243,CROPLAND,corn;gra3,,,,,,,,1
LU_244,CROPLAND,corn;gra3,,,,,,,,1
LU_245,CROPLAND,corn;gra3,,,,,,,,1
LU_246,CROPLAND,corn;gra3,,,,,,,,1
LU_247,CROPLAND,corn;gra3,,,,,,,,1
LU_248,CROPLAND,corn;gra3,,,,,,,,1
LU_249,CROPLAND,corn;gra3,,,,,,,,1
LU_250,CROPLAND,corn;gra3,,,,,,,,1
LU_254,CROPLAND,corn;gra3,,,,,,,,1
