LOG,Execution Date:  7/25/2023                    Execution Start Time: 15:33:30
LOG,*** BEGIN EXECUTION: AnnAGNPS v6.00.a.014_2022.03.08; 64-bit ***
WARNING,Section = "GLOBAL IDS FACTORS AND FLAGS DATA",ID = "",Parameter column = " 54",Unrecognized column header "Width_ Reserved_j". This column will be ignored.
WARNING,Section = "GLOBAL IDS FACTORS AND FLAGS DATA",ID = "",Parameter column = " 55",Unrecognized column header "Width_ Reserved_k". This column will be ignored.
WARNING,Section = "CROP DATA",ID = "",Parameter column = "  6",Unrecognized column header "'USLE_C_Fctr". This column will be ignored.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "weed_control;_manual",Parameter = "Sub-Surface Decomposition",Record # = "98",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "weed_control;_manual",Parameter = "Surface Residue",Record # = "98",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "hydro-seeder",Parameter = "Surface Decomposition",Record # = "105",A blank field or a value of 0.0 was encountered for the Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "hydro-seeder",Parameter = "Sub-Surface Decomposition",Record # = "105",A blank field or a value of 0.0 was encountered for the Sub-Surface Decomposition used with effect code 4. This value must be greater than 0.0. The default value of 0.016 will be applied.
WARNING,Section = "MANAGEMENT OPERATION DATA:",ID = "hydro-seeder",Parameter = "Surface Residue",Record # = "105",All residue fields are blank or 0.0. At least one surface residue field must be greater than 0.0. The default value of 0.01 will be applied to the surface residue at 30% field.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "",Parameter = "Number Scheduled Events",The value (12096) is outside the usual range of 1 - 10000.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;_gra1",Parameter = "Curve Number ID",Record # = "7",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;_gra2",Parameter = "Curve Number ID",Record # = "14",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;_gra3",Parameter = "Curve Number ID",Record # = "21",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra1",Parameter = "Curve Number ID",Record # = "30",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra2",Parameter = "Curve Number ID",Record # = "38",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra3",Parameter = "Curve Number ID",Record # = "46",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra4",Parameter = "Curve Number ID",Record # = "56",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra5",Parameter = "Curve Number ID",Record # = "64",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra6",Parameter = "Curve Number ID",Record # = "74",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra7",Parameter = "Curve Number ID",Record # = "83",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra8",Parameter = "Curve Number ID",Record # = "94",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra9",Parameter = "Curve Number ID",Record # = "103",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra10",Parameter = "Curve Number ID",Record # = "114",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra11",Parameter = "Curve Number ID",Record # = "123",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra12",Parameter = "Curve Number ID",Record # = "134",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra13",Parameter = "Curve Number ID",Record # = "144",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra14",Parameter = "Curve Number ID",Record # = "156",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra15",Parameter = "Curve Number ID",Record # = "165",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra16",Parameter = "Curve Number ID",Record # = "174",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra17",Parameter = "Curve Number ID",Record # = "184",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra18",Parameter = "Curve Number ID",Record # = "194",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra19",Parameter = "Curve Number ID",Record # = "203",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra20",Parameter = "Curve Number ID",Record # = "211",A blank was encountered on the first event of a new management schedule with an operation date of "04/14/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra21",Parameter = "Curve Number ID",Record # = "218",A blank was encountered on the first event of a new management schedule with an operation date of "10/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra22",Parameter = "Curve Number ID",Record # = "227",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra23",Parameter = "Curve Number ID",Record # = "235",A blank was encountered on the first event of a new management schedule with an operation date of "03/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra24",Parameter = "Curve Number ID",Record # = "243",A blank was encountered on the first event of a new management schedule with an operation date of "03/15/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra25",Parameter = "Curve Number ID",Record # = "251",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra26",Parameter = "Curve Number ID",Record # = "261",A blank was encountered on the first event of a new management schedule with an operation date of "03/20/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra27",Parameter = "Curve Number ID",Record # = "271",A blank was encountered on the first event of a new management schedule with an operation date of "10/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra28",Parameter = "Curve Number ID",Record # = "282",A blank was encountered on the first event of a new management schedule with an operation date of "04/07/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra29",Parameter = "Curve Number ID",Record # = "290",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra30",Parameter = "Curve Number ID",Record # = "298",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;gra31",Parameter = "Curve Number ID",Record # = "307",A blank was encountered on the first event of a new management schedule with an operation date of "03/20/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;c1",Parameter = "Curve Number ID",Record # = "317",A blank was encountered on the first event of a new management schedule with an operation date of "05/04/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;c2",Parameter = "Curve Number ID",Record # = "334",A blank was encountered on the first event of a new management schedule with an operation date of "05/16/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil1",Parameter = "Curve Number ID",Record # = "351",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil2",Parameter = "Curve Number ID",Record # = "361",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil3",Parameter = "Curve Number ID",Record # = "371",A blank was encountered on the first event of a new management schedule with an operation date of "04/08/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil4",Parameter = "Curve Number ID",Record # = "379",A blank was encountered on the first event of a new management schedule with an operation date of "10/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil5",Parameter = "Curve Number ID",Record # = "388",A blank was encountered on the first event of a new management schedule with an operation date of "05/02/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil6",Parameter = "Curve Number ID",Record # = "402",A blank was encountered on the first event of a new management schedule with an operation date of "03/20/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil7",Parameter = "Curve Number ID",Record # = "412",A blank was encountered on the first event of a new management schedule with an operation date of "10/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil8",Parameter = "Curve Number ID",Record # = "423",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil9",Parameter = "Curve Number ID",Record # = "432",A blank was encountered on the first event of a new management schedule with an operation date of "10/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil10",Parameter = "Curve Number ID",Record # = "442",A blank was encountered on the first event of a new management schedule with an operation date of "03/20/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "corn;sil11",Parameter = "Curve Number ID",Record # = "452",A blank was encountered on the first event of a new management schedule with an operation date of "10/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;c3",Parameter = "Curve Number ID",Record # = "463",A blank was encountered on the first event of a new management schedule with an operation date of "04/21/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;c4",Parameter = "Curve Number ID",Record # = "478",A blank was encountered on the first event of a new management schedule with an operation date of "04/18/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;c5",Parameter = "Curve Number ID",Record # = "493",A blank was encountered on the first event of a new management schedule with an operation date of "04/18/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cmz63;cott",Parameter = "Curve Number ID",Record # = "507",A blank was encountered on the first event of a new management schedule with an operation date of "03/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;spr",Parameter = "Curve Number ID",Record # = "537",A blank was encountered on the first event of a new management schedule with an operation date of "03/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_f1",Parameter = "Curve Number ID",Record # = "560",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_f2",Parameter = "Curve Number ID",Record # = "576",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_f3",Parameter = "Curve Number ID",Record # = "592",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_f4",Parameter = "Curve Number ID",Record # = "608",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_f5",Parameter = "Curve Number ID",Record # = "625",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n1",Parameter = "Curve Number ID",Record # = "642",A blank was encountered on the first event of a new management schedule with an operation date of "04/17/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n2",Parameter = "Curve Number ID",Record # = "655",A blank was encountered on the first event of a new management schedule with an operation date of "10/16/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n3",Parameter = "Curve Number ID",Record # = "672",A blank was encountered on the first event of a new management schedule with an operation date of "10/31/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n4",Parameter = "Curve Number ID",Record # = "685",A blank was encountered on the first event of a new management schedule with an operation date of "10/16/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n5",Parameter = "Curve Number ID",Record # = "699",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_n6",Parameter = "Curve Number ID",Record # = "712",A blank was encountered on the first event of a new management schedule with an operation date of "04/17/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_s1",Parameter = "Curve Number ID",Record # = "724",A blank was encountered on the first event of a new management schedule with an operation date of "03/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_s2",Parameter = "Curve Number ID",Record # = "741",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_s3",Parameter = "Curve Number ID",Record # = "759",A blank was encountered on the first event of a new management schedule with an operation date of "03/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "cotton;_st",Parameter = "Curve Number ID",Record # = "777",A blank was encountered on the first event of a new management schedule with an operation date of "04/17/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "injected_m",Parameter = "Curve Number ID",Record # = "789",A blank was encountered on the first event of a new management schedule with an operation date of "06/20/0004". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "solid_manu",Parameter = "Curve Number ID",Record # = "790",A blank was encountered on the first event of a new management schedule with an operation date of "06/20/0004". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "crp_cool_1",Parameter = "Curve Number ID",Record # = "791",A blank was encountered on the first event of a new management schedule with an operation date of "10/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "crp_cool_2",Parameter = "Curve Number ID",Record # = "806",A blank was encountered on the first event of a new management schedule with an operation date of "09/11/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "crp_establ",Parameter = "Curve Number ID",Record # = "822",A blank was encountered on the first event of a new management schedule with an operation date of "11/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "crp_warm_1",Parameter = "Curve Number ID",Record # = "835",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0004". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "crp_warm_2",Parameter = "Curve Number ID",Record # = "844",A blank was encountered on the first event of a new management schedule with an operation date of "03/01/0002". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "default1",Parameter = "Curve Number ID",Record # = "860",A blank was encountered on the first event of a new management schedule with an operation date of "01/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "hay;_alfal",Parameter = "Curve Number ID",Record # = "861",A blank was encountered on the first event of a new management schedule with an operation date of "02/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "hay;_hybri",Parameter = "Curve Number ID",Record # = "870",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "hay;_tall_",Parameter = "Curve Number ID",Record # = "878",A blank was encountered on the first event of a new management schedule with an operation date of "03/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "1asture;_1",Parameter = "Curve Number ID",Record # = "882",A blank was encountered on the first event of a new management schedule with an operation date of "04/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "1asture;_2",Parameter = "Curve Number ID",Record # = "895",A blank was encountered on the first event of a new management schedule with an operation date of "04/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "1asture;_3",Parameter = "Curve Number ID",Record # = "908",A blank was encountered on the first event of a new management schedule with an operation date of "05/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "1asture;_4",Parameter = "Curve Number ID",Record # = "914",A blank was encountered on the first event of a new management schedule with an operation date of "04/15/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "2asture;_1",Parameter = "Curve Number ID",Record # = "921",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
WARNING,Section = "MANAGEMENT SCHEDULE DATA:",ID = "2asture;_2",Parameter = "Curve Number ID",Record # = "937",A blank was encountered on the first event of a new management schedule with an operation date of "04/01/0001". The internally defined global default crop RCN ID of "Default Crop CN" will be used.
