Date: 07/25/2023    AnnAGNPS: "v6.00.a.014_2022.03.08; 64-bit"    Time: 15:33:30
Input File Version Nos.:  Watershed--"5.50"        Climate--"5.42"        Storm Type--"not read"
PRIMARY CLIMATE FILE HEADER: 30  TN_Memphis
WATERSHED ID: Five cell watershed
WATERSHED DESCRIPTION: Five cell watershed
WATERSHED LOCATION: Watershed Location not provided in "Watershed Data" sect     Lat: 34.2378    Long: -89.7924


USER-SPECIFIED PRIMARY CLIMATE STATION DEW POINT TEMPERATURE GREATER THAN AVERAGE AIR TEMPERATURE
Gregorian Day,Date,Average Temp [C],Dew Point Temp: User-specified [C],Dew Point Temp: Corrected [C],Maximum Temp [C],Primary Climate Station
   18277,01/15/0051,        2.93,      4.93,      2.93,       4.70,Climate.inp,
   18689,03/02/0052,        4.67,      6.31,      4.67,       5.81,Climate.inp,
   19022,01/29/0053,        1.92,      4.13,      1.92,       2.62,Climate.inp,
   19129,05/16/0053,       23.25,     25.75,     23.25,      24.14,Climate.inp,
   20121,02/02/0056,        5.11,     11.84,      5.11,      11.58,Climate.inp,
   20122,02/03/0056,       12.15,     14.27,     12.15,      13.61,Climate.inp,
   20124,02/05/0056,        4.52,      9.76,      4.52,       7.80,Climate.inp,
   20861,02/11/0058,       11.46,     12.95,     11.46,      12.89,Climate.inp,
   21966,02/20/0061,        3.76,      4.93,      3.76,       4.56,Climate.inp,
   22340,03/01/0062,       14.14,     18.23,     14.14,      14.42,Climate.inp,
   22341,03/02/0062,       12.59,     14.31,     12.59,      13.85,Climate.inp,
   22670,01/25/0063,        0.68,      4.32,      0.68,       3.17,Climate.inp,
   22720,03/16/0063,        5.26,      8.16,      5.26,       7.84,Climate.inp,
   23425,02/18/0065,       17.33,     20.14,     17.33,      18.75,Climate.inp,
   25224,01/22/0070,        6.27,      9.27,      6.27,       8.61,Climate.inp,
   25299,04/07/0070,       12.07,     14.91,     12.07,      14.78,Climate.inp,
   25950,01/18/0072,        1.19,      4.35,      1.19,       1.62,Climate.inp,
   25994,03/02/0072,       11.73,     13.63,     11.73,      13.17,Climate.inp,
   26018,03/26/0072,       10.74,     11.96,     10.74,      11.11,Climate.inp,
   26390,04/02/0073,       13.08,     14.01,     13.08,      13.18,Climate.inp,
   26406,04/18/0073,       15.96,     19.03,     15.96,      18.78,Climate.inp,
   26623,11/21/0073,        7.27,     10.14,      7.27,       8.47,Climate.inp,
   26629,11/27/0073,       12.94,     14.59,     12.94,      14.07,Climate.inp,
   26650,12/18/0073,       11.61,     14.26,     11.61,      12.30,Climate.inp,
   27442,02/18/0076,        8.20,     10.66,      8.20,       8.92,Climate.inp,
   27878,04/29/0077,       12.20,     14.85,     12.20,      12.81,Climate.inp,
   28123,12/30/0077,       11.36,     14.51,     11.36,      11.46,Climate.inp,
   28467,12/09/0078,       16.48,     20.51,     16.48,      18.49,Climate.inp,
   28521,02/01/0079,        3.72,      4.70,      3.72,       4.36,Climate.inp,
   28831,12/08/0079,       10.40,     13.44,     10.40,      11.87,Climate.inp,
   28832,12/09/0079,        8.32,     13.36,      8.32,      10.12,Climate.inp,
   28862,01/08/0080,       -1.20,      2.55,     -1.20,       1.35,Climate.inp,
   28922,03/08/0080,       14.29,     19.84,     14.29,      18.97,Climate.inp,
   29183,11/24/0080,       10.03,     10.37,     10.03,      10.18,Climate.inp,
   29623,02/07/0082,        5.10,      5.82,      5.10,       5.69,Climate.inp,
   30331,01/16/0084,        2.94,      4.89,      2.94,       4.24,Climate.inp,
   30714,02/02/0085,        4.64,      9.83,      4.64,       7.41,Climate.inp,
   31010,11/25/0085,        7.44,     13.22,      7.44,      11.73,Climate.inp,
   31142,04/06/0086,       14.38,     18.23,     14.38,      14.87,Climate.inp,
   31147,04/11/0086,       11.64,     12.60,     11.64,      11.86,Climate.inp,
   31434,01/23/0087,       16.33,     20.87,     16.33,      19.13,Climate.inp,
   31482,03/12/0087,        3.55,      4.63,      3.55,       3.96,Climate.inp,
   31822,02/15/0088,       13.85,     17.03,     13.85,      16.01,Climate.inp,
   31825,02/18/0088,        1.24,      4.12,      1.24,       3.82,Climate.inp,
   32559,02/21/0090,       10.98,     13.02,     10.98,      10.99,Climate.inp,
   32566,02/28/0090,       12.39,     15.35,     12.39,      14.47,Climate.inp,
   32937,03/06/0091,       15.09,     18.56,     15.09,      17.52,Climate.inp,
   33531,10/20/0092,        9.10,     10.92,      9.10,      10.27,Climate.inp,
   33597,12/25/0092,       17.62,     20.56,     17.62,      20.30,Climate.inp,
   33690,03/28/0093,       14.39,     16.92,     14.39,      16.16,Climate.inp,
   34781,03/23/0096,        8.69,     10.72,      8.69,       9.68,Climate.inp,
   35092,01/28/0097,        1.61,      6.07,      1.61,       2.32,Climate.inp,
   35167,04/13/0097,       17.77,     19.21,     17.77,      17.97,Climate.inp,
   35474,02/14/0098,        6.27,      7.95,      6.27,       7.91,Climate.inp,
   35475,02/15/0098,        5.76,      7.82,      5.76,       7.66,Climate.inp,
   36191,02/01/0100,        1.28,      4.40,      1.28,       2.82,Climate.inp,
   36192,02/02/0100,        1.92,      3.86,      1.92,       2.87,Climate.inp,
