384
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
294	37	6	13	2	0.02	1
295	37	7	35	2	0.02	1
296	37	8	43	6	0.02	1
297	38	1	-43	6	0.02	1
298	38	2	-35	2	0.02	1
299	38	3	-13	2	0.02	1
300	38	4	-10	0	0.02	1
301	38	5	10	0	0.02	1
302	38	6	13	2	0.02	1
303	38	7	35	2	0.02	1
304	38	8	43	6	0.02	1
305	39	1	-43	6	0.02	1
306	39	2	-35	2	0.02	1
307	39	3	-13	2	0.02	1
308	39	4	-10	0	0.02	1
309	39	5	10	0	0.02	1
310	39	6	13	2	0.02	1
311	39	7	35	2	0.02	1
312	39	8	43	6	0.02	1
313	40	1	-43	6	0.03	1
314	40	2	-35	2	0.03	1
315	40	3	-13	2	0.03	1
316	40	4	-10	0	0.03	1
317	40	5	10	0	0.03	1
318	40	6	13	2	0.03	1
319	40	7	35	2	0.03	1
320	40	8	43	6	0.03	1
321	41	1	-43	6	0.03	1
322	41	2	-35	2	0.03	1
323	41	3	-13	2	0.03	1
324	41	4	-10	0	0.03	1
325	41	5	10	0	0.03	1
326	41	6	13	2	0.03	1
327	41	7	35	2	0.03	1
328	41	8	43	6	0.03	1
329	42	1	-43	6	0.03	1
330	42	2	-35	2	0.03	1
331	42	3	-13	2	0.03	1
332	42	4	-10	0	0.03	1
333	42	5	10	0	0.03	1
334	42	6	13	2	0.03	1
335	42	7	35	2	0.03	1
336	42	8	43	6	0.03	1
337	43	1	-43	6	0.03	1
338	43	2	-35	2	0.03	1
339	43	3	-13	2	0.03	1
340	43	4	-10	0	0.03	1
341	43	5	10	0	0.03	1
342	43	6	13	2	0.03	1
343	43	7	35	2	0.03	1
344	43	8	43	6	0.03	1
345	44	1	-43	6	0.03	1
346	44	2	-35	2	0.03	1
347	44	3	-13	2	0.03	1
348	44	4	-10	0	0.03	1
349	44	5	10	0	0.03	1
350	44	6	13	2	0.03	1
351	44	7	35	2	0.03	1
352	44	8	43	6	0.03	1
353	45	1	-43	6	0.03	1
354	45	2	-35	2	0.03	1
355	45	3	-13	2	0.03	1
356	45	4	-10	0	0.03	1
357	45	5	10	0	0.03	1
358	45	6	13	2	0.03	1
359	45	7	35	2	0.03	1
360	45	8	43	6	0.03	1
361	46	1	-43	6	0.03	1
362	46	2	-35	2	0.03	1
363	46	3	-13	2	0.03	1
364	46	4	-10	0	0.03	1
365	46	5	10	0	0.03	1
366	46	6	13	2	0.03	1
367	46	7	35	2	0.03	1
368	46	8	43	6	0.03	1
369	47	1	-43	6	0.03	1
370	47	2	-35	2	0.03	1
371	47	3	-13	2	0.03	1
372	47	4	-10	0	0.03	1
373	47	5	10	0	0.03	1
374	47	6	13	2	0.03	1
375	47	7	35	2	0.03	1
376	47	8	43	6	0.03	1
377	48	1	-43	6	0.03	1
378	48	2	-35	2	0.03	1
379	48	3	-13	2	0.03	1
380	48	4	-10	0	0.03	1
381	48	5	10	0	0.03	1
382	48	6	13	2	0.03	1
383	48	7	35	2	0.03	1
384	48	8	43	6	0.03	1
