Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
drill; hoe-opener  F,2,7,1,1,1,50.,0.,80.,12.7,6.096,50.8,,,,,,,1
drill; hoe-opener  N,2,7,1,1,1,65.,0.,80.,12.7,6.096,50.8,,,,,,,1
drill; no-till     F,2,7,1,1,1,60.,0.,40.,10.16,6.096,50.8,,,,,,,1
drill; no-till     N,2,7,1,1,1,75.,0.,40.,10.16,6.096,50.8,,,,,,,1
drill;no-till in sod,2,7,1,1,1,90.,0.,20.,7.62,6.096,50.8,,,,,,,1
harrow             F,2,1,1,1,1,70.,0.,100.,10.16,6.096,50.8,,,,,,,1
harrow             N,2,1,1,1,1,80.,0.,100.,10.16,6.096,50.8,,,,,,,1
harvest,6,3,8,1,1,,,,,,,,,,,,,1
harvest hay,6,3,9,1,1,,,,,,,,,,,,,1
harvester; potato,8,6,3,2,1,15.,0.,100.,10.16,6.096,50.8,,,,,,,1
heavy offset disk,2,8,1,1,1,20.,0.,100.,50.8,6.096,152.4,,,,,,,1
kill vegetation,8,3,1,1,1,,,,,,,,,,,,,1
Growth stop,1,1,1,1,1,,,,,,,,,,,,,1
manure; injected   F,4,2,1,1,1,30.,0.,40.,38.1,6.096,152.4,5.,0.03,0.03,340.,1150.,3000.,1
manure; injected   N,4,2,1,1,1,50.,0.,40.,38.1,6.096,152.4,5.,0.03,0.03,340.,1150.,3000.,1
manure; surface fast,4,1,1,1,1,,,,,,,100.,0.048,0.048,250.,1000.,2750.,1
manure; surface mod,4,1,1,1,1,,,,,,,100.,0.03,0.03,340.,1150.,3000.,1
manure; surface mslo,4,1,1,1,1,,,,,,,100.,0.017,0.017,420.,1275.,3200.,1
manure; surface slow,4,1,1,1,1,,,,,,,100.,0.008,0.008,500.,1400.,3400.,1
moldboard plow     F,2,8,1,1,1,2.,0.,100.,48.26,6.096,203.2,,,,,,,1
moldboard plow     N,2,8,1,1,1,5.,0.,100.,48.26,6.096,203.2,,,,,,,1
mow crop,6,3,9,1,1,,,,,,,,,,,,,1
mulch treader      F,2,1,1,1,1,65.,0.,100.,10.16,6.096,50.8,,,,,,,1
mulch treader      N,2,1,1,1,1,75.,0.,100.,10.16,6.096,50.8,,,,,,,1
no operation,1,1,1,1,1,,,,,,,,,,,,,1
paratill/paraplow  F,2,8,1,1,1,80.,0.,30.,15.24,6.096,50.8,,,,,,,1
paratill/paraplow  N,2,8,1,1,1,85.,0.,30.,15.24,6.096,50.8,,,,,,,1
place (dump) fill,2,8,1,1,1,20.,0.,100.,38.1,6.096,203.2,,,,,,,1
planter; conventnl F,2,7,1,1,1,80.,0.,15.,10.16,6.096,50.8,,,,,,,1
planter; conventnl N,2,7,1,1,1,90.,0.,15.,10.16,6.096,50.8,,,,,,,1
planter; no-till   F,2,7,1,1,1,85.,0.,15.,10.16,6.096,50.8,,,,,,,1
planter; no-till   N,2,7,1,1,1,90.,0.,15.,10.16,6.096,50.8,,,,,,,1
planter; ridge-til F,2,7,1,1,1,30.,0.,40.,10.16,6.096,50.8,,,,,,,1
planter; ridge-til N,2,7,1,1,1,50.,0.,40.,10.16,6.096,50.8,,,,,,,1
planter; strip til N,2,7,1,1,1,70.,0.,30.,15.24,6.096,50.8,,,,,,,1
planter; strip-til F,2,7,1,1,1,60.,0.,30.,15.24,6.096,50.8,,,,,,,1
planter; strip-til N,2,7,1,1,1,70.,0.,30.,15.24,6.096,50.8,,,,,,,1
planting; broadcast,7,1,1,1,1,,,,,,,,,,,,,1
range drill,2,7,1,1,1,90.,0.,60.,10.16,6.096,50.8,,,,,,,1
remove mulch eg wind,10,1,1,1,1,,,,,,,,,,,,,1
renew growth,9,1,1,1,1,,,,,,,,,,,,,1
ridger/bedder,2,1,1,1,1,20.,0.,100.,20.32,6.096,101.6,,,,,,,1
ripper,2,1,1,1,1,30.,0.,70.,48.26,6.096,152.4,,,,,,,1
rodweeder          F,2,8,1,1,1,60.,0.,100.,10.16,6.096,50.8,,,,,,,1
rodweeder          N,2,8,1,1,1,90.,0.,100.,10.16,6.096,50.8,,,,,,,1
rotary hoe,2,1,1,1,1,85.,0.,100.,10.16,6.096,50.8,,,,,,,1
rotary tiller      F,2,8,1,1,1,30.,0.,100.,10.16,6.096,76.2,,,,,,,1
rotary tiller      N,2,8,1,1,1,50.,0.,100.,10.16,6.096,76.2,,,,,,,1
scarifier,2,8,1,1,1,50.,0.,100.,38.1,6.096,152.4,,,,,,,1
shredder-kills,8,3,6,1,1,,,,,,,,,,,,,1
shredder; cotton,8,3,6,1,1,,,,,,,,,,,,,1
subsoil-chisel     F,2,8,1,1,1,45.,0.,100.,48.26,6.096,152.4,,,,,,,1
subsoil-chisel     N,2,8,1,1,1,60.,0.,100.,48.26,6.096,152.4,,,,,,,1
subsoiler; 30% left,2,1,1,1,1,30.,0.,70.,48.26,6.096,152.4,,,,,,,1
v-ripper/subsoiler F,2,8,1,1,1,70.,0.,20.,30.48,6.096,76.2,,,,,,,1
v-ripper/subsoiler N,2,8,1,1,1,80.,0.,20.,30.48,6.096,76.2,,,,,,,1
volunteer grow begin,7,1,1,1,1,,,,,,,,,,,,,1
